"Gene","Length","RPF","mRNA","uATG","Chromosome","Size"
"YER019W",477,36.46,53.03,FALSE,"Chr-1",0.68
"YER020W",449,38.3,46.15,FALSE,"Chr-11",0.52
"YER021W",523,162.62,209.56,TRUE,"Chr-13",0.52
"YER022W",687,28.01,39.76,TRUE,"Chr-4",0.79
"YER023W",286,553.19,506.09,TRUE,"Chr-7",0.59
"YER024W",923,1.09,10.5,FALSE,"Chr-11",0.61
"YER025W",527,487.72,367.11,TRUE,"Chr-8",0.57
"YER026C",276,234.09,201.85,TRUE,"Chr-13",0.56
"YER027C",417,104.49,74.24,TRUE,"Chr-16",0.61
"YER028C",394,11.96,22.73,FALSE,"Chr-6",0.77
"YER029C",196,74.81,43.44,TRUE,"Chr-15",0.72
"YER030W",153,337.8,174.67,TRUE,"Chr-12",0.71
"YER031C",223,269.68,168.61,TRUE,"Chr-5",0.59
"YER032W",876,14.54,27.08,FALSE,"Chr-6",0.78
"YER033C",1076,6.5,15.64,FALSE,"Chr-10",0.79
"YER034W",185,50.54,30.59,FALSE,"Chr-5",0.75
"YER035W",145,73.37,41.75,FALSE,"Chr-2",0.57
"YER036C",610,435.1,481.18,TRUE,"Chr-7",0.53
"YER037W",321,31.69,35.26,FALSE,"Chr-2",0.58
"YER038C",464,5.08,16.44,TRUE,"Chr-12",0.54
"YER040W",730,12.87,23.53,FALSE,"Chr-3",0.67
"YER041W",759,2.25,16.28,FALSE,"Chr-15",0.59
"YER042W",184,179.65,123.04,TRUE,"Chr-1",0.73
"YER043C",449,1588.87,1199.03,TRUE,"Chr-13",0.68
"YER044C",148,114.04,90.12,TRUE,"Chr-9",0.59
"YER045C",489,5.58,11.98,TRUE,"Chr-7",0.75
"YER046W",143,9.92,21.34,FALSE,"Chr-7",0.52
"YER047C",897,11.8,17.83,FALSE,"Chr-14",0.67
"YER048C",391,203.77,139.84,TRUE,"Chr-11",0.79
"YER048WA",94,244,174.35,TRUE,"Chr-15",0.58
"YER049W",644,131.91,153.07,TRUE,"Chr-15",0.67
"YER050C",138,130.29,86.66,FALSE,"Chr-11",0.54
"YER051W",492,8.59,19.91,FALSE,"Chr-2",0.57
"YER052C",527,126.7,128.87,FALSE,"Chr-4",0.68
"YER053C",300,25.94,32.15,TRUE,"Chr-6",0.78
"YER053CA",37,37.3,9.31,FALSE,"Chr-2",0.6
"YER055C",297,418.19,522.48,TRUE,"Chr-4",0.77
"YER056C",533,217.89,211.91,TRUE,"Chr-6",0.69
"YER057C",129,439.52,274.69,TRUE,"Chr-9",0.57
"YER058W",107,45.41,22.54,FALSE,"Chr-8",0.58
"YER059W",420,30.27,35.97,FALSE,"Chr-2",0.5
"YER060W",528,11.01,29.92,TRUE,"Chr-10",0.68
"YER061C",442,18.38,35.3,TRUE,"Chr-5",0.8
"YER062C",250,245.82,183.47,FALSE,"Chr-13",0.79
"YER063W",218,189.08,128,TRUE,"Chr-10",0.63
"YER064C",505,114.26,122.01,TRUE,"Chr-16",0.67
"YER067W",161,76.18,56.86,FALSE,"Chr-5",0.57
"YER068W",587,61.24,52.65,TRUE,"Chr-11",0.5
"YER069W",863,15.86,33.76,TRUE,"Chr-2",0.63
"YER070W",888,258.08,350.1,TRUE,"Chr-16",0.53
"YER071C",126,62.99,53.51,FALSE,"Chr-2",0.55
"YER072W",129,2098.51,1371.92,FALSE,"Chr-13",0.65
"YER073W",520,152.33,211.34,TRUE,"Chr-15",0.72
"YER074WA",85,226.46,155.17,FALSE,"Chr-5",0.58
"YER075C",928,12.13,28.05,FALSE,"Chr-4",0.67
"YER076C",302,6.65,15.16,FALSE,"Chr-5",0.77
"YER077C",688,11.07,20.32,FALSE,"Chr-2",0.5
"YER078C",511,18.06,34.29,FALSE,"Chr-9",0.61
"YER080W",627,104.27,129.51,FALSE,"Chr-3",0.58
"YER081W",469,11.04,35.36,FALSE,"Chr-4",0.67
"YER082C",554,71.01,75.16,TRUE,"Chr-14",0.65
"YER083C",285,110.53,102.23,TRUE,"Chr-6",0.53
"YER086W",576,164.91,202.07,FALSE,"Chr-11",0.62
"YER087CB",82,553.17,353.51,FALSE,"Chr-5",0.57
"YER087W",576,19.99,24.52,TRUE,"Chr-8",0.56
"YER088C",670,47.34,63.32,FALSE,"Chr-7",0.8
"YER089C",464,100.5,163.03,FALSE,"Chr-15",0.7
"YER090W",507,252.56,183.47,TRUE,"Chr-10",0.61
"YER091C",767,763.85,673.48,TRUE,"Chr-2",0.73
"YER092W",125,122.07,92.52,FALSE,"Chr-15",0.63
"YER093C",1430,6.89,24.61,FALSE,"Chr-11",0.68
"YER093CA",137,28.09,25.86,TRUE,"Chr-10",0.64
"YER094C",205,297.4,257.84,TRUE,"Chr-14",0.69
"YER095W",400,58.21,53.4,FALSE,"Chr-11",0.54
"YER098W",754,4.17,13.51,FALSE,"Chr-15",0.56
"YER099C",318,82.17,65.93,FALSE,"Chr-15",0.68
"YER100W",250,177.81,88.98,TRUE,"Chr-6",0.72
"YER101C",430,16.98,15.11,FALSE,"Chr-16",0.64
"YER103W",642,26,24.22,FALSE,"Chr-12",0.58
"YER104W",208,23.36,16.8,TRUE,"Chr-3",0.53
"YER105C",1391,40.93,101.65,TRUE,"Chr-7",0.51
"YER107C",365,67.77,71.06,TRUE,"Chr-13",0.78
"YER110C",1113,463.94,504.31,TRUE,"Chr-8",0.69
"YER111C",1093,16.38,45.79,FALSE,"Chr-12",0.51
"YER112W",187,166.13,102.64,TRUE,"Chr-8",0.78
"YER113C",706,20.97,55.63,TRUE,"Chr-4",0.57
"YER114C",1040,43.37,62.51,FALSE,"Chr-6",0.55
"YER115C",191,6.95,38.91,FALSE,"Chr-5",0.77
"YER116C",274,19.96,25.69,FALSE,"Chr-16",0.59
"YER118C",367,65.02,77.64,FALSE,"Chr-5",0.61
"YER119C",448,34.19,42.4,TRUE,"Chr-11",0.51
"YER120W",244,735.19,415.3,TRUE,"Chr-13",0.79
"YER122C",493,197.04,176.4,FALSE,"Chr-3",0.53
"YER123W",524,31.8,46.96,FALSE,"Chr-15",0.5
"YER124C",573,173.14,240.49,TRUE,"Chr-2",0.53
"YER125W",809,134.72,207.93,TRUE,"Chr-5",0.62
"YER126C",261,242.08,168.01,TRUE,"Chr-8",0.52
"YER127W",357,72.01,77.89,TRUE,"Chr-13",0.75
"YER128W",203,18,15.27,FALSE,"Chr-13",0.62
"YER129W",1142,9.38,43.27,FALSE,"Chr-4",0.63
"YER130C",443,27.89,37.99,TRUE,"Chr-16",0.78
"YER131W",119,2722.02,2027.75,TRUE,"Chr-15",0.8
"YER132C",1753,5.93,36.86,FALSE,"Chr-4",0.58
"YER133W",312,364.72,318.95,TRUE,"Chr-10",0.71
"YER134C",178,64.28,59.45,TRUE,"Chr-3",0.63
"YER136W",451,263.39,236.69,FALSE,"Chr-16",0.79
"YER137C",148,16.68,18.95,TRUE,"Chr-7",0.79
"YER139C",226,30.3,24.39,FALSE,"Chr-6",0.69
"YER140W",556,11.15,28.33,FALSE,"Chr-4",0.73
"YER142C",296,21.21,30.76,FALSE,"Chr-15",0.7
"YER143W",428,61.01,38.87,FALSE,"Chr-3",0.57
"YER144C",805,9.66,29.1,TRUE,"Chr-6",0.6
"YER145C",404,283.31,305.4,TRUE,"Chr-9",0.7
"YER146W",93,320.26,268.83,FALSE,"Chr-14",0.59
"YER147C",624,10.38,19.95,FALSE,"Chr-3",0.8
"YER148W",240,198.69,199.94,FALSE,"Chr-9",0.5
"YER149C",420,25.96,46.29,TRUE,"Chr-10",0.64
"YER150W",148,20.23,16.96,FALSE,"Chr-2",0.79
"YER151C",912,63.16,88.5,TRUE,"Chr-12",0.66
"YER152C",443,38.51,102.43,FALSE,"Chr-12",0.69
"YER153C",254,7.86,34.3,FALSE,"Chr-10",0.59
"YER154W",402,35.17,82.39,TRUE,"Chr-4",0.53
"YER155C",2167,37.47,146.69,TRUE,"Chr-2",0.6
"YER156C",338,167.98,142.99,TRUE,"Chr-14",0.78
"YER157W",801,19.33,43.69,TRUE,"Chr-15",0.56
"YER158C",573,4.24,7.13,FALSE,"Chr-11",0.69
"YER159C",142,112.01,76.25,FALSE,"Chr-4",0.61
"YER161C",333,40.63,46.7,TRUE,"Chr-4",0.63
"YER162C",754,8.42,10.9,FALSE,"Chr-13",0.79
"YER163C",232,44.63,67.03,TRUE,"Chr-6",0.53
"YER164W",1468,47.41,76.54,FALSE,"Chr-3",0.7
"YER165W",577,1314.99,1120.69,TRUE,"Chr-5",0.61
"YER166W",1571,33.12,92.42,FALSE,"Chr-3",0.72
"YER167W",851,14.21,35.57,FALSE,"Chr-3",0.5
"YER168C",546,43.36,58.23,FALSE,"Chr-1",0.56
"YER169W",796,12.14,24.55,FALSE,"Chr-16",0.65
"YER170W",225,28.91,21,TRUE,"Chr-10",0.64
"YER171W",778,23.91,43.65,FALSE,"Chr-16",0.74
"YER172C",2163,19.19,52.22,FALSE,"Chr-16",0.77
"YER173W",659,4.32,18.67,TRUE,"Chr-10",0.5
"YER174C",244,49.81,59.7,FALSE,"Chr-4",0.51
"YER175C",299,19.83,22.39,FALSE,"Chr-3",0.61
"YER176W",1121,26.75,40.13,FALSE,"Chr-3",0.73
"YER177W",267,1767.18,1289.55,TRUE,"Chr-14",0.68
"YER178W",420,838.24,996.84,TRUE,"Chr-9",0.76
"YER180CA",85,52.67,50.95,TRUE,"Chr-14",0.76
"YER182W",244,38.29,32.27,TRUE,"Chr-6",0.7
"YER183C",211,60.18,71.61,TRUE,"Chr-11",0.56
"YER184C",794,1.38,9.73,FALSE,"Chr-8",0.54
"YFL001W",442,26.24,43.31,TRUE,"Chr-11",0.6
"YFL002C",606,32.71,49.7,FALSE,"Chr-4",0.58
"YFL004W",828,209.16,286.55,FALSE,"Chr-2",0.78
"YFL005W",215,407.1,263.7,FALSE,"Chr-13",0.57
"YFL007W",2143,34.58,101.99,TRUE,"Chr-11",0.57
"YFL008W",1225,30.44,54.04,TRUE,"Chr-3",0.53
"YFL010C",211,576.42,247.48,FALSE,"Chr-2",0.72
"YFL013C",692,32.1,35.56,FALSE,"Chr-1",0.5
"YFL014W",109,86.72,45.15,FALSE,"Chr-11",0.76
"YFL016C",511,58.29,72.52,TRUE,"Chr-11",0.64
"YFL017C",159,74.29,82.95,FALSE,"Chr-5",0.54
"YFL017WA",77,161.14,99.07,TRUE,"Chr-8",0.69
"YFL018C",499,343.57,300.72,FALSE,"Chr-4",0.75
"YFL021W",510,19.3,28.85,FALSE,"Chr-6",0.78
"YFL022C",503,430.57,323.57,TRUE,"Chr-14",0.52
"YFL023W",796,35.02,36.48,TRUE,"Chr-8",0.74
"YFL024C",832,13.07,33.6,FALSE,"Chr-11",0.77
"YFL025C",1029,12.32,28.31,FALSE,"Chr-12",0.69
"YFL026W",431,321.34,474.34,FALSE,"Chr-6",0.59
"YFL027C",497,10,25.55,TRUE,"Chr-1",0.77
"YFL028C",289,53.51,51.09,TRUE,"Chr-2",0.77
"YFL029C",368,20.11,26.75,FALSE,"Chr-8",0.69
"YFL031W",238,17.1,1201.84,TRUE,"Chr-7",0.69
"YFL034CA",122,522.52,328.37,TRUE,"Chr-11",0.6
"YFL034CB",287,47.97,32.75,FALSE,"Chr-1",0.66
"YFL034W",1073,14.23,30.91,TRUE,"Chr-13",0.55
"YFL036W",1351,24.25,53.99,FALSE,"Chr-5",0.75
"YFL037W",457,467.9,475.57,TRUE,"Chr-8",0.58
"YFL038C",206,686.03,505.53,TRUE,"Chr-2",0.73
"YFL039C",375,3370.36,2638.2,FALSE,"Chr-8",0.54
"YFL041W",622,60.01,72.48,TRUE,"Chr-3",0.59
"YFL042C",674,20.11,30.3,TRUE,"Chr-1",0.59
"YFL044C",301,56.33,56.08,FALSE,"Chr-7",0.62
"YFL045C",254,1218.55,903.7,FALSE,"Chr-8",0.8
"YFL046W",207,45.29,45.41,TRUE,"Chr-1",0.58
"YFL047W",714,26.77,55.21,TRUE,"Chr-12",0.75
"YFL048C",445,141.71,152.29,FALSE,"Chr-14",0.74
"YFL049W",623,21.01,27.89,TRUE,"Chr-5",0.77
"YFL054C",646,3.57,11.88,FALSE,"Chr-10",0.72
"YFR001W",204,128.6,81.06,TRUE,"Chr-13",0.62
"YFR002W",839,55.67,96.38,FALSE,"Chr-9",0.75
"YFR003C",155,110.48,71.44,FALSE,"Chr-6",0.61
"YFR004W",306,267.84,176.76,TRUE,"Chr-7",0.8
"YFR005C",448,25.11,46.69,FALSE,"Chr-15",0.52
"YFR006W",535,113.39,106.53,FALSE,"Chr-10",0.67
"YFR007W",353,17.95,23.14,TRUE,"Chr-9",0.72
"YFR008W",221,23.51,17.15,FALSE,"Chr-11",0.66
"YFR009W",752,186.33,219.51,FALSE,"Chr-11",0.73
"YFR010W",499,152.55,132.06,FALSE,"Chr-12",0.61
"YFR011C",170,107.93,59.93,TRUE,"Chr-4",0.5
"YFR013W",787,23.67,46.15,FALSE,"Chr-16",0.64
"YFR014C",446,33.18,43.26,FALSE,"Chr-13",0.71
"YFR015C",708,16.36,24.47,TRUE,"Chr-6",0.65
"YFR017C",195,12.66,13.12,FALSE,"Chr-15",0.53
"YFR018C",363,29.7,58.84,TRUE,"Chr-9",0.51
"YFR021W",500,26.51,35.04,TRUE,"Chr-5",0.62
"YFR022W",733,2.23,13.29,FALSE,"Chr-14",0.8
"YFR024CA",459,198.39,196.22,TRUE,"Chr-13",0.65
"YFR025C",335,45.93,73.16,TRUE,"Chr-11",0.8
"YFR027W",281,16.56,14.19,TRUE,"Chr-8",0.75
"YFR028C",551,48.28,81.37,TRUE,"Chr-7",0.64
"YFR029W",678,8.44,18.44,FALSE,"Chr-16",0.53
"YFR030W",1035,23.31,51.88,FALSE,"Chr-10",0.75
"YFR031C",1170,10.79,31.38,FALSE,"Chr-8",0.56
"YFR032CA",59,8843.7,4350.12,TRUE,"Chr-9",0.76
"YFR033C",147,99.3,117.51,FALSE,"Chr-15",0.57
"YFR034C",312,72.37,72.56,TRUE,"Chr-5",0.58
"YFR036W",124,63.28,37.71,TRUE,"Chr-10",0.79
"YFR037C",557,131.87,128.65,TRUE,"Chr-9",0.68
"YFR038W",853,18.46,43.16,FALSE,"Chr-5",0.65
"YFR039C",510,28.06,50.47,TRUE,"Chr-8",0.6
"YFR040W",1002,30.16,62.72,FALSE,"Chr-13",0.5
"YFR041C",295,52.95,56.72,TRUE,"Chr-9",0.72
"YFR042W",200,39.2,47,TRUE,"Chr-11",0.75
"YFR043C",237,20.83,17.44,FALSE,"Chr-3",0.76
"YFR044C",481,466.59,447.44,TRUE,"Chr-16",0.53
"YFR045W",309,16.63,17.52,TRUE,"Chr-16",0.65
"YFR046C",361,8.4,14.59,TRUE,"Chr-6",0.58
"YFR047C",295,127.85,112.11,TRUE,"Chr-2",0.73
"YFR048W",662,15.18,30.93,FALSE,"Chr-9",0.64
"YFR049W",123,164.61,80.02,FALSE,"Chr-16",0.72
"YFR050C",266,303.35,232.57,TRUE,"Chr-3",0.65
"YFR051C",546,157.67,171.35,TRUE,"Chr-9",0.68
"YFR052W",274,218.11,189.68,FALSE,"Chr-4",0.62
"YFR053C",485,483.03,309.5,FALSE,"Chr-5",0.71
"YFR055W",340,101.4,106.68,FALSE,"Chr-4",0.65
"YGL001C",349,178.16,163.02,TRUE,"Chr-16",0.73
"YGL002W",216,39.92,77.7,TRUE,"Chr-10",0.74
"YGL003C",566,12.47,25.3,TRUE,"Chr-1",0.56
"YGL004C",417,22.89,23.13,TRUE,"Chr-9",0.51
"YGL005C",279,29.05,44.28,TRUE,"Chr-12",0.65
"YGL006W",1173,17.08,49.72,FALSE,"Chr-10",0.55
"YGL008C",918,4779.47,5373.2,FALSE,"Chr-2",0.6
"YGL009C",779,822.07,852.45,FALSE,"Chr-14",0.67
"YGL010W",174,19.44,31.96,FALSE,"Chr-15",0.71
"YGL011C",252,331.79,292.75,TRUE,"Chr-2",0.72
"YGL012W",473,291.52,375.1,TRUE,"Chr-14",0.8
"YGL013C",1068,19.05,55.3,TRUE,"Chr-5",0.56
"YGL014W",888,41.64,102.7,FALSE,"Chr-14",0.65
"YGL016W",1081,34.32,82.59,FALSE,"Chr-6",0.65
"YGL017W",503,16.11,23.48,FALSE,"Chr-15",0.52
"YGL018C",184,38.94,25.68,TRUE,"Chr-15",0.68
"YGL019W",278,123.03,127.82,TRUE,"Chr-2",0.7
"YGL020C",235,102.42,82.51,TRUE,"Chr-12",0.6
"YGL021W",760,31.54,50.58,FALSE,"Chr-9",0.68
"YGL022W",718,129.99,280.9,TRUE,"Chr-1",0.75
"YGL023C",635,27.08,56.42,TRUE,"Chr-1",0.76
"YGL025C",397,26.49,25.04,TRUE,"Chr-2",0.68
"YGL026C",707,427.94,333.23,TRUE,"Chr-6",0.64
"YGL027C",833,95.09,130.22,TRUE,"Chr-16",0.66
"YGL028C",542,178.94,146.92,TRUE,"Chr-9",0.69
"YGL029W",120,158.25,71.77,TRUE,"Chr-11",0.76
"YGL030W",105,5592.48,3276.33,TRUE,"Chr-7",0.6
"YGL032C",87,172.48,123.32,FALSE,"Chr-11",0.56
"YGL035C",504,47.27,44.04,FALSE,"Chr-7",0.73
"YGL036W",909,12.97,38.12,TRUE,"Chr-13",0.65
"YGL037C",216,516.44,322.41,FALSE,"Chr-8",0.67
"YGL038C",480,35.58,47.06,FALSE,"Chr-10",0.6
"YGL039W",348,97.6,112.86,FALSE,"Chr-16",0.57
"YGL040C",342,196.21,164.05,FALSE,"Chr-9",0.7
"YGL041WA",154,65.67,58.8,FALSE,"Chr-16",0.7
"YGL043W",309,167.7,125.98,TRUE,"Chr-13",0.53
"YGL044C",296,57.74,32.09,FALSE,"Chr-2",0.68
"YGL045W",542,5.82,9.99,FALSE,"Chr-7",0.71
"YGL047W",202,40.61,34.6,TRUE,"Chr-1",0.65
"YGL048C",405,234.19,223.6,TRUE,"Chr-11",0.76
"YGL049C",914,72.23,81.47,FALSE,"Chr-8",0.5
"YGL050W",273,48.7,43.99,TRUE,"Chr-1",0.56
"YGL054C",138,454.8,323.82,FALSE,"Chr-2",0.77
"YGL055W",510,337.52,376.74,FALSE,"Chr-8",0.54
"YGL056C",527,55.08,49.78,TRUE,"Chr-11",0.68
"YGL057C",287,17.13,26.41,FALSE,"Chr-10",0.79
"YGL058W",172,144.76,129.33,TRUE,"Chr-14",0.77
"YGL059W",491,5.46,14.63,TRUE,"Chr-3",0.63
"YGL060W",641,19.33,33.94,FALSE,"Chr-15",0.66
"YGL061C",247,39.82,42.84,TRUE,"Chr-7",0.67
"YGL063W",370,3.26,13.7,FALSE,"Chr-3",0.76
"YGL064C",561,14.76,22.28,FALSE,"Chr-16",0.54
"YGL065C",503,45.7,56.46,FALSE,"Chr-10",0.6
"YGL066W",657,27.82,27.72,TRUE,"Chr-13",0.77
"YGL067W",384,47.13,69.72,FALSE,"Chr-1",0.63
"YGL068W",194,208.4,172,TRUE,"Chr-1",0.62
"YGL070C",122,175.94,99.24,TRUE,"Chr-7",0.69
"YGL071W",690,20.63,49.07,FALSE,"Chr-6",0.74
"YGL073W",833,19.45,39.76,FALSE,"Chr-12",0.65
"YGL075C",387,10.73,16.53,TRUE,"Chr-2",0.74
"YGL077C",563,93.91,133.13,FALSE,"Chr-5",0.8
"YGL078C",523,161.36,137.48,FALSE,"Chr-1",0.77
"YGL079W",218,25.83,51.02,TRUE,"Chr-14",0.73
"YGL080W",130,91.8,62.47,TRUE,"Chr-9",0.68
"YGL081W",320,5.43,5.84,FALSE,"Chr-6",0.75
"YGL082W",381,58.19,61.75,TRUE,"Chr-11",0.58
"YGL083W",804,16.18,27.3,TRUE,"Chr-2",0.73
"YGL084C",560,56.03,80.5,FALSE,"Chr-3",0.72
"YGL085W",274,7.5,17.42,FALSE,"Chr-3",0.72
"YGL086W",749,23.03,46.52,FALSE,"Chr-12",0.63
"YGL087C",137,154.69,89.09,FALSE,"Chr-1",0.73
"YGL090W",421,5.02,19.76,TRUE,"Chr-12",0.78
"YGL091C",328,44.48,41.86,TRUE,"Chr-16",0.71
"YGL092W",1317,50.32,111.06,TRUE,"Chr-6",0.67
"YGL093W",917,17.56,35.96,TRUE,"Chr-7",0.78
"YGL094C",1115,12.67,55.04,FALSE,"Chr-15",0.71
"YGL095C",577,27.88,43.76,TRUE,"Chr-2",0.59
"YGL097W",482,142.16,136.31,TRUE,"Chr-6",0.79
"YGL098W",245,47.1,40.78,FALSE,"Chr-6",0.8
"YGL099W",640,118.29,121.12,TRUE,"Chr-7",0.61
"YGL100W",349,81.94,101.39,TRUE,"Chr-10",0.72
"YGL101W",215,91.79,78.29,TRUE,"Chr-9",0.5
"YGL103W",149,9751.64,7380.96,TRUE,"Chr-12",0.72
"YGL104C",486,9.76,17.11,TRUE,"Chr-4",0.62
"YGL105W",376,885.51,742.02,TRUE,"Chr-10",0.6
"YGL106W",149,646.82,358.05,TRUE,"Chr-2",0.74
"YGL107C",646,27.29,45.56,TRUE,"Chr-7",0.69
"YGL108C",140,63.77,46.4,FALSE,"Chr-15",0.65
"YGL110C",624,21.5,27.21,TRUE,"Chr-9",0.77
"YGL111W",463,67.32,77.92,FALSE,"Chr-15",0.64
"YGL112C",516,61.11,78.97,FALSE,"Chr-16",0.55
"YGL113W",668,5.18,22.69,TRUE,"Chr-1",0.57
"YGL114W",725,18.28,37.81,TRUE,"Chr-14",0.65
"YGL115W",322,94.69,143.37,TRUE,"Chr-6",0.51
"YGL116W",610,29.22,33.81,FALSE,"Chr-9",0.79
"YGL117W",265,5.5,14.11,FALSE,"Chr-1",0.51
"YGL119W",501,22.94,34.28,TRUE,"Chr-7",0.66
"YGL120C",767,146.81,154.58,TRUE,"Chr-6",0.54
"YGL123W",254,6434.73,4744.81,FALSE,"Chr-10",0.61
"YGL124C",644,10.15,21.55,FALSE,"Chr-6",0.56
"YGL125W",600,23.13,38.31,TRUE,"Chr-13",0.66
"YGL126W",380,25.05,62.81,FALSE,"Chr-3",0.64
"YGL127C",127,54.43,53.09,FALSE,"Chr-15",0.61
"YGL128C",283,10.69,12.35,FALSE,"Chr-1",0.6
"YGL129C",450,37.07,46.81,FALSE,"Chr-15",0.69
"YGL130W",459,47.36,46.11,TRUE,"Chr-10",0.73
"YGL131C",1403,4.44,27.01,TRUE,"Chr-2",0.64
"YGL133W",1264,15.93,32.51,FALSE,"Chr-15",0.63
"YGL134W",433,6.57,25.12,FALSE,"Chr-11",0.75
"YGL136C",320,7.59,24.15,FALSE,"Chr-10",0.74
"YGL137W",889,279.37,328.62,TRUE,"Chr-14",0.8
"YGL139W",802,33.55,67.62,FALSE,"Chr-5",0.58
"YGL140C",1219,22.7,77.03,TRUE,"Chr-6",0.71
"YGL141W",910,17,27.64,TRUE,"Chr-3",0.73
"YGL142C",616,15.71,39.95,TRUE,"Chr-9",0.68
"YGL143C",413,13.87,24.91,FALSE,"Chr-7",0.5
"YGL144C",685,4.39,16.31,TRUE,"Chr-9",0.61
"YGL145W",701,24.67,33.28,TRUE,"Chr-16",0.61
"YGL148W",376,482.09,448.43,TRUE,"Chr-5",0.73
"YGL150C",1489,27.64,78.9,TRUE,"Chr-12",0.79
"YGL151W",1132,22.36,49.04,TRUE,"Chr-9",0.56
"YGL153W",341,41.21,35.5,FALSE,"Chr-11",0.72
"YGL154C",272,6.19,19,TRUE,"Chr-16",0.58
"YGL155W",376,25.19,64.66,FALSE,"Chr-7",0.77
"YGL156W",1083,8.09,11.41,FALSE,"Chr-2",0.75
"YGL157W",347,103.57,97.01,FALSE,"Chr-9",0.51
"YGL159W",370,24.64,35.91,TRUE,"Chr-2",0.62
"YGL160W",570,21.96,40.84,TRUE,"Chr-3",0.6
"YGL161C",310,91.35,87.32,TRUE,"Chr-13",0.7
"YGL162W",299,11.92,22.39,TRUE,"Chr-8",0.78
"YGL163C",898,11.13,24.33,TRUE,"Chr-1",0.67
"YGL164C",440,26.43,24.38,TRUE,"Chr-13",0.53
"YGL166W",225,26.75,31.06,TRUE,"Chr-15",0.72
"YGL167C",950,78.06,158.63,FALSE,"Chr-13",0.61
"YGL169W",426,30.27,41.01,TRUE,"Chr-8",0.76
"YGL171W",564,72.87,71.03,TRUE,"Chr-15",0.56
"YGL172W",472,85.52,73.41,TRUE,"Chr-6",0.66
"YGL173C",1528,199.69,317.52,FALSE,"Chr-9",0.78
"YGL174W",266,25.96,23.87,FALSE,"Chr-5",0.52
"YGL175C",345,5.15,16.69,FALSE,"Chr-12",0.63
"YGL176C",554,3.85,21.94,FALSE,"Chr-4",0.66
"YGL178W",859,14.97,34.03,FALSE,"Chr-1",0.57
"YGL179C",560,7.15,15.12,FALSE,"Chr-11",0.59
"YGL180W",897,8.54,21.78,FALSE,"Chr-13",0.68
"YGL181W",396,94.63,67.24,FALSE,"Chr-4",0.61
"YGL184C",465,9.7,8.04,FALSE,"Chr-13",0.6
"YGL185C",379,21.39,26.36,TRUE,"Chr-4",0.75
"YGL186C",579,72.27,67.24,FALSE,"Chr-3",0.7
"YGL187C",155,137.73,79.7,FALSE,"Chr-8",0.63
"YGL190C",526,52.33,76.07,FALSE,"Chr-10",0.61
"YGL191W",129,280.31,165.2,FALSE,"Chr-6",0.65
"YGL194C",452,29.76,40.29,FALSE,"Chr-11",0.69
"YGL194CA",80,33.21,35.68,FALSE,"Chr-10",0.54
"YGL195W",2672,177.36,353.97,TRUE,"Chr-3",0.7
"YGL196W",428,40.3,55.08,FALSE,"Chr-4",0.6
"YGL197W",1487,16.98,58.45,FALSE,"Chr-3",0.73
"YGL198W",235,84.03,91.31,TRUE,"Chr-4",0.5
"YGL200C",203,499.94,439.54,TRUE,"Chr-9",0.59
"YGL201C",1017,43.12,66.3,FALSE,"Chr-11",0.7
"YGL202W",500,451.12,372.66,TRUE,"Chr-6",0.55
"YGL203C",729,66.94,71.97,FALSE,"Chr-6",0.53
"YGL206C",1653,341.45,404.14,TRUE,"Chr-7",0.67
"YGL207W",1035,174.06,197.15,TRUE,"Chr-9",0.55
"YGL208W",415,16.78,17.79,FALSE,"Chr-8",0.66
"YGL209W",382,37.57,32.98,TRUE,"Chr-2",0.68
"YGL210W",222,67.86,57.2,FALSE,"Chr-4",0.77
"YGL211W",359,27.67,53.46,TRUE,"Chr-15",0.5
"YGL212W",316,31.51,19.78,FALSE,"Chr-5",0.77
"YGL213C",397,73.34,61.98,FALSE,"Chr-2",0.63
"YGL215W",452,28.88,166.16,FALSE,"Chr-6",0.51
"YGL216W",805,15.22,35.58,FALSE,"Chr-2",0.68
"YGL219C",459,26.62,44.28,TRUE,"Chr-8",0.64
"YGL220W",120,192.86,168.56,FALSE,"Chr-10",0.64
"YGL221C",288,165.78,154.65,FALSE,"Chr-14",0.69
"YGL222C",175,57.5,38.25,TRUE,"Chr-4",0.7
"YGL223C",417,25.2,34.82,FALSE,"Chr-1",0.57
"YGL224C",280,30.1,50.09,FALSE,"Chr-5",0.8
"YGL225W",337,301.04,286.53,TRUE,"Chr-13",0.67
"YGL226CA",86,201.6,116.74,FALSE,"Chr-6",0.57
"YGL226W",123,54.31,32.81,TRUE,"Chr-16",0.79
"YGL227W",958,14.59,27.43,TRUE,"Chr-15",0.75
"YGL228W",577,105.45,135.45,TRUE,"Chr-15",0.66
"YGL229C",818,4.17,21.42,TRUE,"Chr-3",0.63
"YGL231C",190,163.92,133.4,TRUE,"Chr-2",0.6
"YGL232W",289,110.75,119.04,FALSE,"Chr-5",0.54
"YGL233W",910,23.11,62.25,TRUE,"Chr-11",0.76
"YGL234W",802,426.16,408.45,FALSE,"Chr-4",0.65
"YGL236C",669,9.07,25.67,FALSE,"Chr-14",0.63
"YGL237C",265,30.9,21.54,FALSE,"Chr-3",0.57
"YGL238W",960,75.7,156.51,TRUE,"Chr-6",0.79
"YGL240W",250,10.86,15.16,FALSE,"Chr-16",0.77
